Information Pages Names,Information Pages Links,Information Pages ID's,Desktop old name,Desktop New name,Mobile old name,Mobile New name,Desktop Size,Mobile Size,"BAU
Starting From Price",Starting Price in Category,
,,,,,,,,,,,
Furniture Page,https://beta.teamwoodenstreet.com/furniture,235,furniture-banner,235.jpg,furniture-m,235-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/albus-3-seater-fabric-sofa-cotton-jade-ivory,8899,
Sofas,https://beta.teamwoodenstreet.com/sofas,151,sofa-banner,151.jpg,sofa-m,151-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/albus-l-shape-4-seater-sofa-cotton-jade-ivory,16999,
Sofa Sets,https://beta.teamwoodenstreet.com/sofa-sets,30,sofa-set-banner,30.jpg,sofa-set-m,30-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/varnik-3+1+1-ash-wood-sofa-set-with-cane-accents-teak-finish-cottage-ivory,16999,
Seatings / Chairs,https://beta.teamwoodenstreet.com/chairs,33,chair-banner,33.jpg,chair-m,33-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/heritage-floral-printed-fabric-sheesham-wood-arm-chair-with-brass-nails-detailing-one-piece-blue,4999,
Living Room Furniture,https://beta.teamwoodenstreet.com/living-room-furniture,17,living-room-banner,17.jpg,living-room-m,17-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/vedic-3-1-1-wooden-sofa-set-with-cane-and-brass-detail-teak-finish-jade-ivory,39789,
Tables,https://beta.teamwoodenstreet.com/tables,32,table-banner,32.jpg,table-m,32-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/gulliver-sheesham-wood-study-table-with-three-drawers-teak-finish,4999,
Storage Furniture,https://beta.teamwoodenstreet.com/storage-furniture,20,storage-banner,20.jpg,storage-m,20-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/rida-sheesham-wood-wardrobe-with-cane-accent-and-mirror-teak-finish,6999,
Home Furnishing,https://beta.teamwoodenstreet.com/home-furnishing,147,furnishing-banner,147.jpg,furnishing-m,147-m.jpg,1400*450,700*500,,,
Bedroom Furniture,https://beta.teamwoodenstreet.com/bedroom-furniture,19,bedroom-banner,19.jpg,bedroom-m,19-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/wildon-premium-sheesham-wood-bed-with-cushioned-headboard-and-drawer-storage-king-size-teak-finish,24999,
Beds,https://beta.teamwoodenstreet.com/beds,412,all-beds-banner,412.jpg,all-beds-m,412-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/lotus-premium-sheesham-wood-bed-with-drawer-storage-king-size-teak-finish,,
Dining Room Furniture,https://beta.teamwoodenstreet.com/dining-room-furniture,18,dining-banner,18.jpg,dining-banner-m,18-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/shriyam-modern-6-seater-sheesham-wood-dining-table-set-with-quartz-table-top-cane-brass-accents-teak-finish,39999,
Dining Table Sets,https://beta.teamwoodenstreet.com/dining-table-sets,41,dining-table-sets-banner,41.jpg,dining-set-m,41-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/mcbeth-storage-6-seater-dining-table-set-honey-finish,39999,
Kitchen Furniture,https://beta.teamwoodenstreet.com/kitchen-furniture,400,kitchen-furniture,400.jpg,kitchen-furniture-m,400-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/tripti-classic-kitchen-cabinet-with-fluted-glass-cane-weave-brass-knobs-teak-finish,24989,https://beta.teamwoodenstreet.com/product/briska-mango-wood-cabinet-with-fluted-glass-drawer-storage-teak-finish
Bar Furniture,https://beta.teamwoodenstreet.com/bar-furniture,61,bar-furniture-banner,61.jpg,bar-furniture-m,61-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/amodh-sheesham-wood-bar-cabinet-with-fluted-glass-brass-detailing-teak-finish,15989,
Study Room Furniture,https://beta.teamwoodenstreet.com/study-room-furniture,28,study-room-banner,28.jpg,study-room-m,28-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/kalam-sheesham-wood-study-table-with-cane-accent-drawers-and-cabinet-teak-finish,4999,
Study Tables,https://beta.teamwoodenstreet.com/study-tables,417,study-banner,417.jpg,study-m,417-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/vyas-sheesham-wood-study-table-with-cane-accent-drawers-closed-and-open-shelves-teak-finish,,
Office Furniture,https://beta.teamwoodenstreet.com/office-furniture,180,office-banner,180.jpg,office-banner-m,180-m.jpg,1400*450,700*500,ok,3989,
Outdoor Furniture,https://beta.teamwoodenstreet.com/outdoor-furniture,21,outdoor-banner,21.jpg,outdoor-m,21-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/aroha-2-seater-outdoor-set-with-coffee-table-caramel-brown,7989,
Home Decors,https://beta.teamwoodenstreet.com/home-decors,25,decor-banner,25.jpg,decor-m,25-m.jpg,1400*450,700*500,https://beta.teamwoodenstreet.com/product/skyler-antique-sheesham-wood-full-length-mirror-with-brass-design-walnut-finish,,
Wall arts,https://beta.teamwoodenstreet.com/wall-arts,252,wall-art-banner,252.jpg,wall-art-m,252-m.jpg,1400*450,700*500,,,
Lamp & Lighting,https://beta.teamwoodenstreet.com/lamps-and-lighting,234,lamp-banner,234.jpg,lamp-m,234-m.jpg,1400*450,700*500,,,
All Bedsheets,https://beta.teamwoodenstreet.com/all-bedsheets,342,bedsheet-banner,342.jpg,bedsheet-m,342-m.jpg,1400*450,700*500,,,
Curtains,https://beta.teamwoodenstreet.com/curtains,291,curtain-banner,291.jpg,curtain-m,291-m.jpg,1400*450,700*500,,,
Modular Furniture,https://beta.teamwoodenstreet.com/modular-furniture,153,modular-banner,153.jpg,modular-m,153-m.jpg,1400*450,700*500,,,
Kids Furniture,https://beta.teamwoodenstreet.com/kids-furniture,22,kids-furniture-banner,22.jpg,kids-furniture-m,22-m.jpg,1400*450,700*500,,,
Kids Room Decor,https://beta.teamwoodenstreet.com/kids-room-decor,162,kids-decor-banner,162.jpg,kids-decor-m,162-m.jpg,1400*450,700*500,,,
Earthy Threads,https://beta.teamwoodenstreet.com/earthy-threads,343,,343.jpg,,343-m.jpg,1400*450,700*500,recheck this page,,
Home Garden,https://beta.teamwoodenstreet.com/home-garden,179,home-garden-banner,179.jpg,home-garden-m,179-m.jpg,1400*450,700*500,,,
,,,,,,,,,,,
,,,,,,,,,,,
Other Banners,,,,,,,,,,,
,,,,,,,,,,,
Home Banner (Main),https://beta.teamwoodenstreet.com/,,wooden-sofa,1,,1,900x550,900x550,,,
Home Side Banner 1,https://beta.teamwoodenstreet.com/,,sofa-banner-m,home_hero_2.jpg,,home_hero_2.jpg,800x400,800x400,,,
Home Side Banner 2,https://beta.teamwoodenstreet.com/,,recliner-banner,home_hero_3.jpg,,home_hero_3.jpg,800x400,800x400,,,
Store Banner,https://beta.teamwoodenstreet.com/,,discount-strip-1,store_strip_middle.jpg,discount-strip-m-1.jpg,store_strip_middle-m.jpg,1400x164,400x200,,,
Category Mid sale strip,https://beta.teamwoodenstreet.com/6-seater-dining-table-sets,,strip-furniture,offer_strip.jpg,mobile-mid-banner,offer_strip-m.jpg,1400x158,767x210,,,
Login Popup Banner,https://beta.teamwoodenstreet.com/,,login-bg2,login.jpg,login-m,login-m.jpg,720x1032,660x276,,,
Category Top Sale strip,https://beta.teamwoodenstreet.com/6-seater-dining-table-sets,,sale-mid-banner,category_top.jpg,sale-m-banner,category_top-m.jpg,1915x68,720x73,,,
Sale Page Banner,https://beta.teamwoodenstreet.com/new-year-sale,,offer-banner,,offer-banner-m,,1400x456,416x255,,,
Store Location Pages,https://beta.teamwoodenstreet.com/furniture-in-guwahati,Store Location Pages,-,furniture_in.jpg,,furniture_in-m.jpg,1400x450,700X500,,,
,,,,,,,,,,,
Home Page Banners,,,,,,,,,,,
1,https://beta.teamwoodenstreet.com/,-,main-banner,1,main-banner,1,900x500,900x500,,,
2,https://beta.teamwoodenstreet.com/,-,all-beds,2,all-beds,2,900x500,900x500,,,
3,https://beta.teamwoodenstreet.com/,-,veda-collection,3,veda-collection,3,900x500,900x500,,,
4,https://beta.teamwoodenstreet.com/,-,sofacumbeds,4,sofacumbeds,4,900x500,900x500,,,
5,https://beta.teamwoodenstreet.com/,-,6-seater-dining-table-sets,5,6-seater-dining-table-sets,5,900x500,900x500,,,
6,https://beta.teamwoodenstreet.com/,-,coffee-tables,6,coffee-tables,6,900x500,900x500,,,
7,https://beta.teamwoodenstreet.com/,-,lounge-chairs,7,lounge-chairs,7,900x500,900x500,,,
8,https://beta.teamwoodenstreet.com/,-,all-study-tables,8,all-study-tables,8,900x500,900x500,,,
9,https://beta.teamwoodenstreet.com/,-,outdoor-furniture,9,outdoor-furniture,9,900x500,900x500,,,