Index,Product Query,Page Type,Final URL,Elapsed (ms)
1,"Sofa set","search","https://beta.teamwoodenstreet.com/search?search=sofa%20set",7563
2,"3 seater sofa","search","https://beta.teamwoodenstreet.com/search?search=3%20seater%20sofa",7014
3,"L shaped sofa","search","https://beta.teamwoodenstreet.com/search?search=l%20shaped%20sofa",11036
4,"Sectional sofa","search","https://beta.teamwoodenstreet.com/search?search=sectional%20sofa",7003
5,"Sofa cum bed","search","https://beta.teamwoodenstreet.com/search?search=sofa%20cum%20bed",6914
6,"Coffee table","search","https://beta.teamwoodenstreet.com/search?search=coffee%20table",6991
1,"Sofa set","search","https://beta.teamwoodenstreet.com/search?search=sofa%20set",6908
2,"3 seater sofa","search","https://beta.teamwoodenstreet.com/search?search=3%20seater%20sofa",7304
3,"L shaped sofa","search","https://beta.teamwoodenstreet.com/search?search=l%20shaped%20sofa",6894
4,"Sectional sofa","search","https://beta.teamwoodenstreet.com/search?search=sectional%20sofa",7056
5,"Sofa cum bed","search","https://beta.teamwoodenstreet.com/search?search=sofa%20cum%20bed",7003
6,"Coffee table","search","https://beta.teamwoodenstreet.com/search?search=coffee%20table",6597
7,"TV unit","search","https://beta.teamwoodenstreet.com/search?search=tv%20unit",8014
8,"Center table","search","https://beta.teamwoodenstreet.com/search?search=center%20table",10858
9,"Side table","search","https://beta.teamwoodenstreet.com/search?search=side%20table",7190
10,"Wooden sofa","search","https://beta.teamwoodenstreet.com/search?search=wooden%20sofa",8774
11,"Fabric sofa","search","https://beta.teamwoodenstreet.com/search?search=fabric%20sofa",8543
12,"Leather sofa","search","https://beta.teamwoodenstreet.com/search?search=leather%20sofa",8414
13,"Recliner sofa","search","https://beta.teamwoodenstreet.com/search?search=recliner%20sofa",7202
14,"Corner sofa","search","https://beta.teamwoodenstreet.com/search?search=corner%20sofa",8744
15,"Lounge chairs","search","https://beta.teamwoodenstreet.com/search?search=lounge%20chairs",6566
16,"Armchair","search","https://beta.teamwoodenstreet.com/search?search=armchair",8286
17,"Ottoman","search","https://beta.teamwoodenstreet.com/search?search=ottoman",10556
18,"Console table","search","https://beta.teamwoodenstreet.com/search?search=console%20table",6992
19,"Nesting tables","search","https://beta.teamwoodenstreet.com/search?search=nesting%20tables",7331
20,"Living room furniture","search","https://beta.teamwoodenstreet.com/search?search=living%20room%20furniture",6680
21,"Bed","search","https://beta.teamwoodenstreet.com/search?search=bed",6691
22,"King size bed","search","https://beta.teamwoodenstreet.com/search?search=king%20size%20bed",6672
23,"Queen size bed","search","https://beta.teamwoodenstreet.com/search?search=queen%20size%20bed",7883
24,"Double bed","search","https://beta.teamwoodenstreet.com/search?search=double%20bed",7043
25,"Single bed","search","https://beta.teamwoodenstreet.com/search?search=single%20bed",8302
26,"Bed with storage","search","https://beta.teamwoodenstreet.com/search?search=bed%20with%20storage",7068
27,"Wardrobe","search","https://beta.teamwoodenstreet.com/search?search=wardrobe",6817
28,"3 door wardrobe","search","https://beta.teamwoodenstreet.com/search?search=3%20door%20wardrobe",8272
29,"Sliding wardrobe","search","https://beta.teamwoodenstreet.com/search?search=sliding%20wardrobe",7098
30,"Dressing table","unknown","https://beta.teamwoodenstreet.com/",16063
31,"Bedside table","search","https://beta.teamwoodenstreet.com/search?search=bedside%20table",13416
32,"Chest of drawers","search","https://beta.teamwoodenstreet.com/search?search=chest%20of%20drawers",9092
33,"Mattress","search","https://beta.teamwoodenstreet.com/search?search=mattress",7206
34,"Bedroom set","search","https://beta.teamwoodenstreet.com/search?search=bedroom%20set",6835
35,"Wooden bed","search","https://beta.teamwoodenstreet.com/search?search=wooden%20bed",10924
36,"Platform bed","search","https://beta.teamwoodenstreet.com/search?search=platform%20bed",8013
37,"Box bed","search","https://beta.teamwoodenstreet.com/search?search=box%20bed",8327
38,"Kids bed","search","https://beta.teamwoodenstreet.com/search?search=kids%20bed",8270
39,"Bunk bed","search","https://beta.teamwoodenstreet.com/search?search=bunk%20bed",6483
40,"Bedroom furniture","search","https://beta.teamwoodenstreet.com/search?search=bedroom%20furniture",7382
41,"Dining table","search","https://beta.teamwoodenstreet.com/search?search=dining%20table",7193
42,"4 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=4%20seater%20dining%20table",7914
43,"6 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=6%20seater%20dining%20table",8229
44,"Dining table set","search","https://beta.teamwoodenstreet.com/search?search=dining%20table%20set",6418
45,"Dining chairs","search","https://beta.teamwoodenstreet.com/search?search=dining%20chairs",9476
46,"Round dining table","search","https://beta.teamwoodenstreet.com/search?search=round%20dining%20table",7042
47,"Foldable dining table","search","https://beta.teamwoodenstreet.com/search?search=foldable%20dining%20table",8628
48,"Extendable dining table","search","https://beta.teamwoodenstreet.com/search?search=extendable%20dining%20table",7414
49,"Marble top dining table","search","https://beta.teamwoodenstreet.com/search?search=marble%20top%20dining%20table",7188
50,"Glass dining table","search","https://beta.teamwoodenstreet.com/search?search=glass%20dining%20table",7119
51,"Wooden dining table","search","https://beta.teamwoodenstreet.com/search?search=wooden%20dining%20table",7008
52,"Dining room furniture","search","https://beta.teamwoodenstreet.com/search?search=dining%20room%20furniture",7972
53,"2 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=2%20seater%20dining%20table",9722
54,"8 seater dining table","search","https://beta.teamwoodenstreet.com/search?search=8%20seater%20dining%20table",12468
55,"Dining bench","search","https://beta.teamwoodenstreet.com/search?search=dining%20bench",7416
56,"Study table","search","https://beta.teamwoodenstreet.com/search?search=study%20table",7921
57,"Computer table","search","https://beta.teamwoodenstreet.com/search?search=computer%20table",7567
58,"Office chair","search","https://beta.teamwoodenstreet.com/search?search=office%20chair",7694
59,"Study chair","search","https://beta.teamwoodenstreet.com/search?search=study%20chair",13251
60,"Bookshelf","search","https://beta.teamwoodenstreet.com/search?search=bookshelf",7322
61,"Office desk","search","https://beta.teamwoodenstreet.com/search?search=office%20desk",8458
62,"Kids study table","search","https://beta.teamwoodenstreet.com/search?search=kids%20study%20table",7534
63,"Laptop table","search","https://beta.teamwoodenstreet.com/search?search=laptop%20table",6497
64,"Storage cabinets","search","https://beta.teamwoodenstreet.com/search?search=storage%20cabinets",7554
65,"Study room furniture","search","https://beta.teamwoodenstreet.com/search?search=study%20room%20furniture",7191
66,"Shoe rack","search","https://beta.teamwoodenstreet.com/search?search=shoe%20rack",6782
67,"Book rack","search","https://beta.teamwoodenstreet.com/search?search=book%20rack",7160
68,"Wall shelves","search","https://beta.teamwoodenstreet.com/search?search=wall%20shelves",7516
69,"Storage unit","search","https://beta.teamwoodenstreet.com/search?search=storage%20unit",7797
70,"Crockery unit","search","https://beta.teamwoodenstreet.com/search?search=crockery%20unit",8455
71,"Display unit","search","https://beta.teamwoodenstreet.com/search?search=display%20unit",7103
72,"Cabinet","search","https://beta.teamwoodenstreet.com/search?search=cabinet",7830
73,"Trunk box","search","https://beta.teamwoodenstreet.com/search?search=trunk%20box",7801
74,"Wall art","search","https://beta.teamwoodenstreet.com/search?search=wall%20art",6806
75,"Photo frames","search","https://beta.teamwoodenstreet.com/search?search=photo%20frames",7289
76,"Wall paintings","search","https://beta.teamwoodenstreet.com/search?search=wall%20paintings",7234
77,"Mirrors","search","https://beta.teamwoodenstreet.com/search?search=mirrors",7017
78,"Indoor plants","search","https://beta.teamwoodenstreet.com/search?search=indoor%20plants",7486
79,"Tableware","search","https://beta.teamwoodenstreet.com/search?search=tableware",7117
80,"Cushion covers","search","https://beta.teamwoodenstreet.com/search?search=cushion%20covers",7026
81,"Table lamps","search","https://beta.teamwoodenstreet.com/search?search=table%20lamps",6760
82,"Floor lamps","search","https://beta.teamwoodenstreet.com/search?search=floor%20lamps",8591
83,"Wall decor","search","https://beta.teamwoodenstreet.com/search?search=wall%20decor",7509
84,"Home decor","search","https://beta.teamwoodenstreet.com/search?search=home%20decor",8048
85,"Decorative items","search","https://beta.teamwoodenstreet.com/search?search=decorative%20items",7904
86,"Bar furniture","search","https://beta.teamwoodenstreet.com/search?search=bar%20furniture",7818
87,"Bar cabinet","search","https://beta.teamwoodenstreet.com/search?search=bar%20cabinet",7256
88,"Bar stool","search","https://beta.teamwoodenstreet.com/search?search=bar%20stool",11574
89,"Wine rack","search","https://beta.teamwoodenstreet.com/search?search=wine%20rack",10336
90,"Outdoor furniture","search","https://beta.teamwoodenstreet.com/search?search=outdoor%20furniture",7437
91,"Garden furniture","search","https://beta.teamwoodenstreet.com/search?search=garden%20furniture",8383
92,"Balcony furniture","search","https://beta.teamwoodenstreet.com/search?search=balcony%20furniture",7998
93,"Patio furniture","search","https://beta.teamwoodenstreet.com/search?search=patio%20furniture",7839
94,"Sheesham wood furniture","search","https://beta.teamwoodenstreet.com/search?search=sheesham%20wood%20furniture",8598
95,"Mango wood furniture","search","https://beta.teamwoodenstreet.com/search?search=mango%20wood%20furniture",8863
96,"Solid wood furniture","search","https://beta.teamwoodenstreet.com/search?search=solid%20wood%20furniture",7800
97,"Teak finish furniture","unknown","https://beta.teamwoodenstreet.com/",15447
98,"Custom furniture","search","https://beta.teamwoodenstreet.com/search?search=custom%20furniture",10844
99,"Modern furniture","search","https://beta.teamwoodenstreet.com/search?search=modern%20furniture",7763
100,"Traditional furniture","search","https://beta.teamwoodenstreet.com/search?search=traditional%20furniture",13580
1,"Morse Sideboard Walnut finish","search","https://beta.teamwoodenstreet.com/search?search=morse%20sideboard%20walnut%20finish",14264
2,"Murphy Premium Solid Wood TV Unit With Drawers, Cane & Brass Accents Contemporary Design & Ample Storage TV Media Console Suitable for Upto 60 Inches TV","unknown","https://beta.teamwoodenstreet.com/",16180
3,"Naomi Laptop Table(Natural Finish)","search","https://beta.teamwoodenstreet.com/search?search=naomi%20laptop%20table(natural%20finish)",17397
4,"Natalia Tv Unit with Shelf Storage","search","https://beta.teamwoodenstreet.com/search?search=natalia%20tv%20unit%20with%20shelf%20storage",7503
5,"neat nook","search","https://beta.teamwoodenstreet.com/search?search=neat%20nook",7150
6,"Nerdy Laptop,Breakfast,Study Table Grey","search","https://beta.teamwoodenstreet.com/search?search=nerdy%20laptop%2Cbreakfast%2Cstudy%20table%20grey",12741
7,"Nerdy Laptop,Breakfast,Study Table white","search","https://beta.teamwoodenstreet.com/search?search=nerdy%20laptop%2Cbreakfast%2Cstudy%20table%20white",7285
8,"Nestin Bookshelves with Storage(Black finish)","search","https://beta.teamwoodenstreet.com/search?search=nestin%20bookshelves%20with%20storage(black%20finish)",12988
9,"Nevin Shoe Rack (Exotic teak finish)","search","https://beta.teamwoodenstreet.com/search?search=nevin%20shoe%20rack%20(exotic%20teak%20finish)",7753
10,"Nirvana Suede fabric 1 seater eletric recliner(yellow Finish)","unknown","https://beta.teamwoodenstreet.com/",14239
11,"Niwara sofa beach cream","search","https://beta.teamwoodenstreet.com/search?search=niwara%20sofa%20beach%20cream",7272
12,"Niya 3 Seater Electric Sofa","search","https://beta.teamwoodenstreet.com/search?search=niya%203%20seater%20electric%20sofa",7542
13,"Nordik Ash Wood Study Table with Storage & Cane Cabinet","search","https://beta.teamwoodenstreet.com/search?search=nordik%20ash%20wood%20study%20table%20with%20storage%20%26%20cane%20cabinet",14886
14,"Norvin 3 Seater Sofa (Velvet, Persian Plum)","search","https://beta.teamwoodenstreet.com/search?search=norvin%203%20seater%20sofa%20(velvet%2C%20persian%20plum)",13380
15,"Norvin 3+1+1 (mulberry pink) Product Video","search","https://beta.teamwoodenstreet.com/search?search=norvin%203%2B1%2B1%20(mulberry%20pink)%20product%20video",13920
16,"Nouri Floor Lamp","search","https://beta.teamwoodenstreet.com/search?search=nouri%20floor%20lamp",10083
17,"Novak coffee table (Flowery Wenge Finish)","search","https://beta.teamwoodenstreet.com/search?search=novak%20coffee%20table%20(flowery%20wenge%20finish)",12673
18,"Novak Z- shaped Coffee Table","search","https://beta.teamwoodenstreet.com/search?search=novak%20z-%20shaped%20coffee%20table",11671
19,"nuvola lounge chair","search","https://beta.teamwoodenstreet.com/search?search=nuvola%20lounge%20chair",10313
20,"Oasis L- shaped sectional Sofa Set (Sand Beige)","search","https://beta.teamwoodenstreet.com/search?search=oasis%20l-%20shaped%20sectional%20sofa%20set%20(sand%20beige)",8940
21,"Oceana Accent Lounge Chair with Bold Stripes & Wooden Arms","search","https://beta.teamwoodenstreet.com/search?search=oceana%20accent%20lounge%20chair%20with%20bold%20stripes%20%26%20wooden%20arms",14592
22,"Ojas Curved Teak Wood Chair with Cane TeakFinish","search","https://beta.teamwoodenstreet.com/search?search=ojas%20curved%20teak%20wood%20chair%20with%20cane%20teakfinish",14156
23,"OLENA 3 SEATER ELECTRIC SOFA WHITE","search","https://beta.teamwoodenstreet.com/search?search=olena%203%20seater%20electric%20sofa%20white",11843
24,"Olwen Smart Recliner Bed with Built-in Massager and Zero Gravity Sleep Mode Wireless Remote Controlled Power Adjustable Bed with Premium Leatherette Frame","unknown","https://beta.teamwoodenstreet.com/",17702
25,"Orbis Modern Black TV Cabinet & Sideboard with Textured Front & Metal Base","search","https://beta.teamwoodenstreet.com/search?search=orbis%20modern%20black%20tv%20cabinet%20%26%20sideboard%20with%20textured%20front%20%26%20metal%20base",17287
26,"Orchaze Premium L Shape Sectional Sofa (GREY Upholstery)","search","https://beta.teamwoodenstreet.com/search?search=orchaze%20premium%20l%20shape%20sectional%20sofa%20(grey%20upholstery)",9143
27,"Ortho zen matress","search","https://beta.teamwoodenstreet.com/search?search=ortho%20zen%20matress",10769
28,"Orven Kitchen Cabinet partical","search","https://beta.teamwoodenstreet.com/search?search=orven%20kitchen%20cabinet%20partical",12892
29,"Orvion Modern Bar Cabinet with Textured Premium HDMMR Front (Marble Green)","search","https://beta.teamwoodenstreet.com/search?search=orvion%20modern%20bar%20cabinet%20with%20textured%20premium%20hdmmr%20front%20(marble%20green)",9857
30,"Orwell Round Coffee Table [walnut]","search","https://beta.teamwoodenstreet.com/search?search=orwell%20round%20coffee%20table%20%5Bwalnut%5D",8225
31,"Orwell Round Coffee Table {Honey-Finish}","search","https://beta.teamwoodenstreet.com/search?search=orwell%20round%20coffee%20table%20%7Bhoney-finish%7D",9427
32,"Osbert 3 Seater Curved Sofa Graphite Grey","search","https://beta.teamwoodenstreet.com/search?search=osbert%203%20seater%20curved%20sofa%20graphite%20grey",8825
33,"Osbert 3 Seater Curved Sofa (jade ivory)","search","https://beta.teamwoodenstreet.com/search?search=osbert%203%20seater%20curved%20sofa%20(jade%20ivory)",8835
34,"Osbert 3 Seater Curved Sofa (Salmon Pink)","search","https://beta.teamwoodenstreet.com/search?search=osbert%203%20seater%20curved%20sofa%20(salmon%20pink)",8088
35,"Osbert 3 seater curved sofa with brass cladding( indigo blue)","search","https://beta.teamwoodenstreet.com/search?search=osbert%203%20seater%20curved%20sofa%20with%20brass%20cladding(%20indigo%20blue)",14814
36,"Osbert 3 Seater Curved Sofa(Fossil grey)","search","https://beta.teamwoodenstreet.com/search?search=osbert%203%20seater%20curved%20sofa(fossil%20grey)",12789
37,"Osbert Sofa","search","https://beta.teamwoodenstreet.com/search?search=osbert%20sofa",7091
38,"Osias BookshelF(Honey Finish)","search","https://beta.teamwoodenstreet.com/search?search=osias%20bookshelf(honey%20finish)",11230
39,"Oxford 3 Seater cream tropical sofa","search","https://beta.teamwoodenstreet.com/search?search=oxford%203%20seater%20cream%20tropical%20sofa",12593
40,"oxford blue","search","https://beta.teamwoodenstreet.com/search?search=oxford%20blue",7358
41,"Palmer Outdoor Set","search","https://beta.teamwoodenstreet.com/search?search=palmer%20outdoor%20set",9421
42,"Parker 3 Seater Sofa (Cream Robins) Video","search","https://beta.teamwoodenstreet.com/search?search=parker%203%20seater%20sofa%20(cream%20robins)%20video",12256
43,"Parker 3 Seater Sofa (forest cream) Video","search","https://beta.teamwoodenstreet.com/search?search=parker%203%20seater%20sofa%20(forest%20cream)%20video",13093
44,"Paxton Fabric Sofa Cum Bed","search","https://beta.teamwoodenstreet.com/search?search=paxton%20fabric%20sofa%20cum%20bed",7509
45,"Peach shoe rack Exotic Teak","search","https://beta.teamwoodenstreet.com/search?search=peach%20shoe%20rack%20exotic%20teak",11045
46,"Pear Kids Turndle Bed With Storage","search","https://beta.teamwoodenstreet.com/search?search=pear%20kids%20turndle%20bed%20with%20storage",11164
47,"Pengin Dreamlux Mattress","search","https://beta.teamwoodenstreet.com/search?search=pengin%20dreamlux%20mattress",10559
48,"Penguin bamboo bliss mattress","search","https://beta.teamwoodenstreet.com/search?search=penguin%20bamboo%20bliss%20mattress",7552
49,"Penguin Sleep Pillow","search","https://beta.teamwoodenstreet.com/search?search=penguin%20sleep%20pillow",7288
50,"Picasso study table","search","https://beta.teamwoodenstreet.com/search?search=picasso%20study%20table",10372
51,"Reid Sheesham Wood Coffee Table with Four Cushioned Stools(Walnut Finish)","search","https://beta.teamwoodenstreet.com/search?search=reid%20sheesham%20wood%20coffee%20table%20with%20four%20cushioned%20stools(walnut%20finish)",8525
52,"Pictor High Back Mesh Ergonomic Desk Chair With Comfortable Seat, Synchro Mechanism & Durable Nylon Base(Grey)","unknown","https://beta.teamwoodenstreet.com/",15198
53,"Pisa Black High Back Office Revolving Chair Final","search","https://beta.teamwoodenstreet.com/search?search=pisa%20black%20high%20back%20office%20revolving%20chair%20final",17861
54,"Prism Engineered Wood Study Table With Sectioned and Shelf Storage(Columbian Walnut Finish)","search","https://beta.teamwoodenstreet.com/search?search=prism%20engineered%20wood%20study%20table%20with%20sectioned%20and%20shelf%20storage(columbian%20walnut%20finish)",9348
55,"product name change","search","https://beta.teamwoodenstreet.com/search?search=product%20name%20change",10521
56,"Quadrra Premium Upholstered Bed (Jade ivory)","search","https://beta.teamwoodenstreet.com/search?search=quadrra%20premium%20upholstered%20bed%20(jade%20ivory)",13418
57,"Quartz 3 Seater Wooden Sofa(Walnut Irish Cream)","search","https://beta.teamwoodenstreet.com/search?search=quartz%203%20seater%20wooden%20sofa(walnut%20irish%20cream)",7965
58,"Quartz Sheesham Wood Coffee Table with Open Storage Walnut Finish","search","https://beta.teamwoodenstreet.com/search?search=quartz%20sheesham%20wood%20coffee%20table%20with%20open%20storage%20walnut%20finish",8293
59,"Quartz Wooden Sofa Set Walnut Irish Cream","search","https://beta.teamwoodenstreet.com/search?search=quartz%20wooden%20sofa%20set%20walnut%20irish%20cream",8093
60,"Radical black tv console","search","https://beta.teamwoodenstreet.com/search?search=radical%20black%20tv%20console",9908
61,"Raven Bedside Table Black","search","https://beta.teamwoodenstreet.com/search?search=raven%20bedside%20table%20black",10357
